id,brand,title,price,status,start_time,distance,volumn,gear,tag
15,丰田,普拉多(进口) 2017款 2700 TX(中东版),39.8,,2018年,2.1万公里,2.7升,自动,高配_会员5年
16,丰田,汉兰达 2011款 2.7L 两驱5座运动版-家用大空间自驾游最佳用车,13.5,,2011年,8万公里,2.7升,自动,会员6年
17,大众,高尔夫 2012款 1.4TSI 自动舒适型-车况原版可分期,5.9,,2012年,7万公里,1.4升,自动,会员1年
18,奥迪,Q5 2013款 40 TFSI 进取型-支持任何4s店维修厂检测,20.5,,2013年,8万公里,2.0升,自动,会员1年_可分期付
19,凯迪拉克,SRX(进口) 2015款 3.0L 舒适型-年底急卖非诚勿扰车况可保,20.0,,2015年,6万公里,3.0升,自动,低配_会员1年_可分期付
20,比亚迪,速锐 2015款 改款 1.5L 自动豪华型-动力强 超省油 代步首选,3.46,,2015年,5.8万公里,1.5升,自动,会员2年_可分期付
21,吉利,熊猫 2010款 爱她版 1.3L 自动豪华型-注:车商请勿来电 买车请用微聊,1.5,,2010年,9万公里,1.3升,自动,会员1年_可分期付
22,宝马,5系 2010款 520Li 豪华型-车况精品 可按揭 个人一手,11.88,,2010年,11万公里,2.0升,自动,会员1年_可分期付
23,奥迪,A4L 2010款 1.8 TFSI 舒适型-车况精品 可按揭 个人一手,8.56,,2010年,7.6万公里,1.8升,自动,会员1年_可分期付
24,长安,"欧诺 2015款 1.5L金欧诺标准型-车商勿扰,支持按揭及车况检测",3.1,,2017年,2.1万公里,1.5升,手动,会员1年_可分期付
25,别克,英朗XT 2010款 XT 1.6T 时尚运动版,2.85,,2010年,6.8万公里,1.6升,自动,会员1年_可分期付
26,别克,英朗XT 2010款 XT 1.6T 时尚运动版,2.85,,2010年,6.8万公里,1.6升,自动,会员1年_可分期付
27,五菱,荣光 2012款 1.2 手动 基本型-私人一手 价格实惠 拉货神器,1.18,急,2012年,5.3万公里,1.2升,手动,低配_会员1年
28,奥迪,A5 2012款 2.0TFSI Cabriolet quattro-车况精品带改件,23.5,急,2012年,8万公里,2.0升,自动,会员4年
29,宝马,3系 2005款 320i 时尚型-手续全 过户快,6.18,,2006年,7.38万公里,2.0升,自动,低配_会员4年
30,丰田,凯美瑞 2009款 200E 精英版,4.8,,2009年,15.8万公里,2.0升,自动,低配_会员1年
31,路虎,发现 2012款 5.0 V8 SE,42.8,,2013年,10万公里,5.0升,自动,高配_会员5年
32,现代,名图 2014款 1.8L 自动舒适型GL-精品一手车,3.5,,2013年,8.5万公里,1.8升,自动,会员1年
33,宝马,3系 2009款 320i 豪华型-国四排放 无事故无泡水,3.68,,2007年,15万公里,2.0升,自动,会员1年
34,奥迪,A4L 2013款 35 TFSI 自动舒适型-原版随检可按揭车在宁波随提诚谈,15.12,,2012年,7万公里,2.0升,自动,会员1年_可分期付
35,大众,辉腾 2015款 3.0L 专享版-支持任何4s店维修厂检测,36.58,,2015年,6.5万公里,3.0升,自动,低配_会员1年_可分期付
36,比亚迪,速锐 2014款 1.5TID 自动豪华型-动力强 超省油 代步首选,3.0,,2014年,6.2万公里,1.5升,自动,会员2年_可分期付
37,红旗,H7 2017款 2.0T 豪华型-一手寄卖车 合同保证 包过户,17.28,,2017年,4万公里,2.0升,自动,会员2年_可分期付
38,奥迪,Q5 2016款 40 TFSI 舒适型-注:车商请勿来电 买车请用微聊,27.98,,2016年,4万公里,2.0升,自动,会员1年_可分期付
39,现代,ix35 2012款 2.0 手自一体 GLS两驱精英天窗型-注:车商请勿来电 买车请用微聊,8.28,,2012年,9万公里,2.0升,自动,会员1年_可分期付
40,本田,CRV 2016款 2.0L 两驱都市版-车况精品 可按揭 个人一手,14.88,,2016年,3.4万公里,2.0升,自动,高配_会员1年_可分期付
41,依维柯,2009款 手动 都灵 柴油2.8T 17座-经典十七座宝迪厂家接送跑旅游用,5.68,,2010年,11万公里,2.8升,手动,高配_会员1年
42,广汽,"传祺GS8 2017款 320T 两驱豪华智联版-车商勿扰,支持按揭及车况检测",14.68,,2017年,2万公里,2.0升,自动,会员1年_可分期付
43,大众,"途观 2013款 1.8TSI 自动两驱舒适版-车商勿扰,支持按揭及车况检测",12.98,,2014年,8万公里,1.8升,自动,会员1年_可分期付
44,别克,英朗XT 2010款 XT 1.6T 时尚运动版,2.85,,2010年,6.8万公里,1.6升,自动,会员1年_可分期付
45,金杯,海狮 2011款 2.0 手动 第五代快运王舒适K型4G19,1.58,急,2011年,8万公里,2.0升,手动,会员1年
46,别克,君越 2007款 2.4 豪华导航版-欢迎光临上海蓝天精品二手车,2.5,,2008年,11万公里,2.4升,自动,会员5年
47,雪佛兰,景程 2007款 2.0 手动舒适型-欢迎光临上海蓝天精品二手车,1.4,,2008年,8.3万公里,2.0升,手动,会员5年
48,大通,"G10 2016款 2.0T 自动 豪华版-车况精品,包过户大量依维柯全顺",10.68,,2016年,3.7万公里,2.0升,自动,会员1年
49,大众,阿莫诺克 2013款 2.0T 手动 舒适运动版,2.5,,2013年,6.8万公里,2.0升,手动,会员1年
50,江铃,经典全顺 2009款 2.8T 手动 柴油多功能型长轴中顶JX493ZLQ3-11年上牌江铃全顺加长版,6.66,,2011年,9万公里,2.8升,手动,会员1年_可分期付
51,保时捷,Panamera 2011款 3.0 手自一体 Panamera S Hybrid,54.98,,2011年,6.9万公里,3.0升,自动,会员5年
52,凯迪拉克,ATSL 2016款 28T 时尚型,23.8,,2018年,1.6万公里,2.0升,自动,会员5年
53,奥迪,Q7 2015款 35 TFSI 进取型,38.2,,2015年,7.5万公里,3.0升,自动,低配_会员4年_可分期付
54,奔驰,E级 2017款 E 300 运动型-车在宁波精品随检可按揭随提诚谈,41.29,,2017年,1.39万公里,2.0升,自动,会员1年_可分期付
55,保时捷,Boxster 2013款 Boxster 2.7L-车在宁波精品随检可按揭随提诚谈,50.69,,2015年,1.7万公里,2.7升,自动,低配_会员1年_可分期付
56,大众,捷达 2016款 1.6L 25周年纪念版-支持分期 全款勿扰 同行勿扰,6.08,,2016年,2.31万公里,1.6升,自动,高配_会员2年_可分期付
57,大众,捷达 2017款 1.5L 自动豪华型-支持分期 全款勿扰 同行勿扰,7.39,,2017年,1.59万公里,1.5升,自动,会员2年_可分期付
58,吉利,帝豪GS 2017款 GS 运动版 1.3T 自动智联型-一手寄卖车 合同保证 包过户,6.58,,2017年,2.8万公里,1.3升,自动,高配_会员2年_可分期付
59,奥迪,A6L 2011款 2.0 TFSI 自动标准型-注:车商请勿来电 买车请用微聊,12.68,,2011年,9万公里,2.0升,自动,会员1年_可分期付
60,丰田,锐志 2012款 2.5L 自动 V风尚菁英版-注:车商请勿来电 买车请用微聊,12.38,,2012年,8万公里,2.5升,自动,会员1年_可分期付
61,大通,MAXUS V80 2012款 2.5T 手动 长轴中顶傲运通B版-可过户大牌24小时市区随便跑,8.08,,2013年,6.2万公里,2.5升,手动,会员1年_可分期付
62,江铃,经典全顺 2009款 2.8T 手动 柴油标准型长轴中顶JX493ZLQ3-蓝牌六座加长全顺包提档过户放心,4.49,,2009年,12.4万公里,2.8升,手动,会员1年_可分期付
63,马自达,6 2007款 2.0L 自动豪华型,2.7,,2007年,13万公里,2.0升,自动,会员1年_可分期付
64,福特,"野马 2016款 2.3T 性能版-秀外慧中,尽显活力  随时咨询",24.6,,2016年,4万公里,2.3升,自动,低配_会员1年_可分期付
65,日产,骐达 2008款 1.6L 自动智能型-精品好车 欢迎咨询,3.85,急,2009年,12.95万公里,1.6升,自动,会员3年
66,雷克萨斯,"LS 2009款 460 4.6 手自一体 尊贵加长版-极品的大凌志,支持低首付",32.5,急,2009年,18万公里,4.6升,自动,高配_会员3年_可分期付
67,保时捷,卡宴 2011款 Cayenne 3.0T,48.8,,2012年,7万公里,3.0升,自动,会员5年
68,保时捷,卡宴 2011款 Cayenne 3.0T,52.8,,2013年,10万公里,3.0升,自动,会员5年
69,江铃,经典全顺 2009款 2.8T 手动 柴油标准型短轴中顶JX493ZLQ3-上海专卖全顺依维柯,4.2,,2012年,7万公里,2.8升,手动,会员1年_可分期付
70,江铃,经典全顺 2009款 2.8T 手动 柴油标准型短轴中顶JX493ZLQ3-上海专卖全顺依维柯,4.5,,2012年,7.8万公里,2.8升,手动,会员1年_可分期付
71,马自达,3星骋 2011款 三厢 1.6L 自动舒适型-12年上牌M3马自达星骋 一手,5.75,,2012年,8.5万公里,1.6升,自动,会员1年_可分期付
72,江铃,"经典全顺 2009款 2.8T 手动 柴油标准型短轴中顶JX493ZLQ3-车况精品,包过户大量依维柯全顺",4.5,,2011年,8.2万公里,2.8升,手动,会员1年_可分期付
73,雷克萨斯,GX 2010款 4.6 手自一体 高配,48.8,,2011年,12万公里,4.6升,自动,高配_会员6年_可分期付
74,丰田,凯美瑞 2008款 200E 2.0 自动 精英版-精品一手车,3.1,,2008年,11.5万公里,2.0升,自动,低配_会员1年
75,别克,君越 2016款 20T 精英型-原版原漆随检可按揭随提车在宁波,16.39,,2017年,3.5万公里,1.5升,自动,会员1年_可分期付
76,奥迪,A4L 2013款 35 TFSI 自动舒适型-原版车在宁波随检可按揭随提诚谈,17.28,,2013年,7万公里,2.0升,自动,会员1年_可分期付
77,东南,DX3 2018款 DX3 1.5T CVT尊贵型-支持分期 全款勿扰 同行勿扰,6.6,,2018年,0.78万公里,1.5升,自动,会员2年_可分期付
78,广汽讴歌,讴歌CDX 2016款 1.5T 两驱悦享版-一手寄卖车 合同保证 包过户,15.8,,2016年,4.2万公里,1.5升,自动,会员2年_可分期付
79,雪佛兰,迈锐宝 2016款 1.6T 自动豪华版-一手寄卖车 合同保证 包过户,9.49,,2015年,5.8万公里,1.6升,自动,会员2年_可分期付
80,斯巴鲁,XV 2012款 2.0i 豪华版-注:车商请勿来电 买车请用微聊,8.98,,2012年,11万公里,2.0升,自动,会员1年_可分期付
81,丰田,"YARiS L 致炫 2014款 1.3E 自动魅动版-车况精品,支持随时检测",5.85,,2014年,5万公里,1.3升,自动,会员1年_可分期付
82,奔驰,"S级 2004款 S 280-车况精品,支持随时检测",6.88,,2005年,24万公里,2.8升,自动,低配_会员1年_可分期付
83,日产,天籁 2010款 2.5L XL周年纪念版,7.0,,2010年,9万公里,2.5升,自动,高配_会员1年_可分期付
84,宝马,3系 2008款 320i 进取型,6.8,,2008年,10万公里,2.0升,自动,低配_会员1年_可分期付
85,奥迪,R8 2012款 5.2 FSI quattro 限量版,92.0,,2012年,4.2万公里,5.2升,自动,高配_会员1年_可分期付
86,奥迪,A6L 2009款 2.4L 技术型-车况精品无事故,9.18,,2009年,9.2万公里,2.4升,自动,会员1年
87,一汽,佳宝V52 2011款 1.0 手动 实用型LJ465QE1-个人一手车 车况精品 无事故,0.58,急,2011年,5万公里,1.0升,手动,低配_会员2年
88,奔驰,V级 2018款 V级 V 260 尊贵版,78.8,,2019年,0.05万公里,2.0升,自动,会员5年
89,宝马,1系（进口） 2013款 改款 125i 运动型,23.8,,2014年,4.9万公里,2.0升,自动,高配_会员5年
90,江铃,经典全顺 2009款 2.8T 手动 柴油标准型短轴中顶JX493ZLQ3-上海专卖全顺依维柯,4.0,,2011年,8.6万公里,2.8升,手动,会员1年_可分期付
91,江淮,瑞风 2008款 穿梭系列 2.0 手动 简配单空调型7座-一手私家车 没拉过货,2.56,,2010年,13万公里,2.0升,手动,会员1年
92,江铃,"经典全顺 2009款 2.8T 手动 柴油标准型短轴中顶JX493ZLQ3-车况精品,包过户大量依维柯全顺",4.5,,2012年,7.9万公里,2.8升,手动,会员1年_可分期付
93,江铃,经典全顺 2009款 2.8T 手动 柴油多功能型短轴中顶JX493ZLQ3A-车况精品无任何事故 无泡水,3.56,,2011年,9.23万公里,2.8升,手动,会员1年
94,雪佛兰,科帕奇 2014款 2.4L 四驱旗舰版 7座,10.3,,2013年,7.4万公里,2.4升,自动,会员6年_可分期付
95,奔驰,斯宾特(进口) 2009款 3.5 自动 增配版,62.8,,2017年,0.75万公里,3.5升,自动,高配_会员4年_可分期付
96,丰田,凯美瑞 2012款 骏瑞 2.0S 耀动版,4.58,,2011年,9.6万公里,2.0升,自动,低配_会员1年
97,保时捷,卡宴 2016款 Cayenne 3.0T-车在宁波同行勿扰车况极品可按揭,79.8,,2017年,2.8万公里,3.0升,自动,低配_会员1年_可分期付
98,保时捷,Macan 2014款 Macan 2.0T-车在宁波极品随检可按揭随提诚谈,40.69,,2014年,6.8万公里,2.0升,自动,低配_会员1年_可分期付
99,日产,轩逸 2018款 1.6XV CVT尊享版-支持分期 全款勿扰 同行勿扰,9.08,,2018年,1.59万公里,1.6升,自动,会员2年_可分期付
100,大众,"速腾 2017款 230TSI 自动豪华型-车在宁波,车商勿扰,支持按揭。",11.08,,2017年,1.8万公里,1.4升,自动,会员1年_可分期付
101,本田,思域 2009款 1.8L 自动豪华版-注:车商请勿来电 买车请用微聊,5.28,,2009年,8万公里,1.8升,自动,会员1年_可分期付
102,大众,尚酷 2013款 1.4TSI GTS-注:车商请勿来电 买车请用微聊,11.5,,2013年,7万公里,1.4升,自动,低配_会员1年_可分期付
103,三菱,"ASX劲炫 2014款 2.0 CVT 两驱精英版-车况精品,支持随时检测",8.25,,2015年,8.3万公里,2.0升,自动,低配_会员1年_可分期付
104,雪佛兰,"乐骋 2007款 1.4 手动 SE-车况精品,代步首选",1.0,,2007年,13万公里,1.4升,手动,会员1年
105,起亚,K3 2013款 1.6L 自动GLS,3.88,,2012年,7万公里,1.6升,自动,会员1年_可分期付
106,别克,君威 2010款 2.4L 舒适版,5.3,,2010年,9万公里,2.4升,自动,低配_会员1年_可分期付
107,雪佛兰,迈锐宝 2014款 2.0L 自动豪华版-车况精品无事故,7.8,,2014年,4.8万公里,2.0升,自动,会员1年
108,别克,君越 2010款 2.4L豪雅版-车况精品无事故,6.1,,2010年,6.6万公里,2.4升,自动,会员1年
109,奥迪,A5 2010款 2.0TFSI Cabriolet-南通牌照,18.0,急,2011年,8万公里,2.0升,自动,会员4年_可分期付
110,福特,福克斯三厢 2015款 三厢 1.6L 自动风尚型-车况精品,7.0,急,2015年,4万公里,1.6升,自动,会员1年
111,宝马,5系 2011款 523Li 豪华型,22.8,,2011年,9.3万公里,2.5升,自动,会员6年_可分期付
112,宝骏,730 2016款 1.5 手动 豪华型7座,2.56,,2014年,7.2万公里,1.5升,手动,会员1年
113,本田,思域 2012款 1.8L 自动舒适版,3.88,,2011年,12万公里,1.8升,自动,会员1年
114,玛莎拉蒂,Ghibli 2015款 3.0T 四驱 美规版,60.9,,2015年,2.7万公里,3.0升,自动,高配_会员1年_可分期付
115,别克,君越 2018款 20T 精英型-别克君越 新款 1.5T 精英,15.7,,2017年,1.5万公里,1.5升,自动,会员1年_可分期付
116,依维柯,"2009款 手动 2.8T V39 6座 柴油-精品车况,包办手续,有质保",3.8,,2010年,7.8万公里,2.8升,手动,低配_会员1年_可分期付
117,丰田,凯美瑞 2012款 骏瑞 2.0S 耀动版,4.58,,2011年,9.6万公里,2.0升,自动,低配_会员1年
118,丰田,凯美瑞 2012款 骏瑞 2.0S 耀动版,4.58,,2011年,9.6万公里,2.0升,自动,低配_会员1年
119,玛莎拉蒂,Levante 2016款 3.0T Levante-原版车在宁波随检可按揭随提诚谈,83.29,,2017年,4万公里,3.0升,自动,低配_会员1年_可分期付
120,奔驰,E级(进口) 2010款 E 200 CGI 优雅型,13.8,,2010年,14.8万公里,1.8升,自动,低配_会员4年
121,雪佛兰,科沃兹 2018款 320 自动欣悦版-支持分期 全款勿扰 同行勿扰,6.6,,2018年,0.89万公里,1.5升,自动,会员2年_可分期付
122,斯柯达,"速派 2016款 TSI280 DSG创行版-车在宁波,车商勿扰,支持按揭。",9.58,,2015年,7万公里,1.4升,自动,会员1年_可分期付
123,双龙,爱腾 2014款 2.3 手自一体 两驱舒适版-注:车商请勿来电 买车请用微聊,9.28,,2016年,3万公里,2.3升,自动,会员1年_可分期付
124,丰田,卡罗拉 2012款 炫装版 1.6L 自动GL-注:车商请勿来电 买车请用微聊,7.68,,2012年,7万公里,1.6升,自动,会员1年_可分期付
125,大众,"POLO 2007款 1.4 手动 时尚运动版-车况精品,支持随时检测",2.78,,2009年,10万公里,1.4升,手动,低配_会员1年_可分期付
126,丰田,"雅力士 2008款 1.6RS 自动至尊版-车况精品,代步首选",3.68,,2009年,5万公里,1.6升,自动,会员1年_可分期付
127,荣威,550 2010款 550S 1.8 自动 启臻贺岁版,2.35,,2010年,9万公里,1.8升,自动,会员1年_可分期付
128,本田,思域 2009款 1.8L 自动经典版,3.5,,2009年,11万公里,1.8升,自动,会员1年_可分期付
129,宝马,5系 2010款 523Li 领先型-车况精品无事故,10.8,,2010年,7.28万公里,2.5升,自动,会员1年
130,现代,劳恩斯酷派 2009款 2.0T 自动豪华版-劳恩斯酷派 2009款 2.0T 自动豪华版,8.9,急,2011年,8.80万公里,2.0升,自动,会员1年
131,宝骏,730 2016款 1.5 手动 豪华型7座-一年两万公里质保 质量问题可退,2.78,急,2014年,8.2万公里,1.5升,手动,会员1年
132,纳智捷,大7 SUV 2011款 2.2T 两驱智慧型,7.8,,2012年,7.8万公里,2.2升,自动,会员6年_可分期付
133,依维柯,"2012款 Daily 2.5T A32基本型-精品车况,包办手续,有质保",5.6,,2013年,7.8万公里,2.5升,手动,高配_会员1年_可分期付
134,江铃,"经典全顺 2009款 2.8T 手动 柴油标准型短轴中顶JX493ZLQ3-现车多,有质保,包提档过户",4.3,,2012年,8万公里,2.8升,手动,会员1年_可分期付
135,江铃,"经典全顺 2009款 2.8T 手动 柴油多功能型长轴中顶JX493ZLQ3-现车多,有质保,包提档过户",4.9,,2012年,8万公里,2.8升,手动,会员1年_可分期付
136,沃尔沃,V40 2018款 T3 智逸版-沃尔沃V40 1.5T T3,17.5,,2017年,1.6万公里,1.5升,自动,会员1年_可分期付
137,沃尔沃,XC90 2011款 2.5T AWD-御尊首选 精品车况,16.8,,2011年,6.8万公里,2.5升,自动,会员4年_可分期付
138,奥迪,"A3(进口)新能源 2017款 Sportback etron 舒适型,免税",2.98,,2017年,2.6万公里,1.4升,自动,高配_会员1年
139,宝马,7系 2008款 730Li领先型,13.0,,2008年,18万公里,3.0升,自动,低配_会员6年_行驶证已验
140,玛莎拉蒂,总裁 2013款 3.0T 标准型-精品车况 有意者微聊 车商勿扰,67.8,,2014年,9万公里,3.0升,自动,低配_会员1年_可分期付
141,福特,福克斯两厢 2017款 两厢 1.6L 手动风尚型智行版-支持分期 全款勿扰 同行勿扰,7.28,,2017年,1.56万公里,1.6升,手动,会员2年_可分期付
142,丰田,"卡罗拉 2017款 改款双擎 1.8L CVT旗舰版-车在宁波,车商勿扰,支持按揭。",12.0,,2017年,3.6万公里,1.8升,自动,高配_会员1年_可分期付
143,奔驰,C级 2008款 C 230 时尚型-车况精品 手续齐全 价格实惠,9.1,,2009年,9万公里,2.5升,自动,会员2年_可分期付
144,宝马,5系GT 2015款 528i 领先型-注:车商请勿来电 买车请用微聊,42.8,,2016年,6.8万公里,2.0升,自动,低配_会员1年_可分期付
145,奔驰,"C级(进口) 2006款 C 230 优雅型-车况精品,支持随时检测",6.38,,2007年,13万公里,2.5升,自动,会员1年_可分期付
146,福特,"福克斯两厢 2012款 两厢经典 1.8L 手动基本型-车况精品,支持随时检测",3.65,,2013年,9万公里,1.8升,手动,低配_会员1年_可分期付
147,宝马,3系 2007款 320i 2.0 手自一体 时尚型木内饰,5.2,,2007年,10万公里,2.0升,自动,会员1年_可分期付
148,奥迪,A4 2008款 2.0T 个性风格版,4.7,,2008年,13万公里,2.0升,自动,会员1年_可分期付
149,马自达,6 2008款 轿跑 2.0L 自动运动型-车况精品无事故,3.6,,2008年,8.3万公里,2.0升,自动,会员1年
150,大众,朗逸 2011款 1.6L 自动品轩版-车况精品浴室,4.3,,2011年,5.6万公里,1.6升,自动,会员1年
151,雷克萨斯,RX 2007款 4.0 无级-只卖懂他的,14.0,急,2008年,10万公里,3.3升,自动,高配_会员4年
152,MG,6新能源 2018款 45T EDRIVE智驱混动PILOT超级互联网版-零出险记录用车全程可追溯,14.88,,2018年,0.2万公里,1.0升,自动,会员5年
153,雷克萨斯,"ES 2010款 350 3.5 手自一体 尊贵版-支持分期,诚信经营",16.88,,2011年,10万公里,3.5升,自动,高配_会员3年_可分期付
154,江铃,"经典全顺 2009款 2.8T 手动 柴油标准型短轴中顶JX493ZLQ3-现车多,有质保,包提档过户",3.67,,2011年,8.6万公里,2.8升,手动,会员1年_可分期付
155,别克,君越 2018款 20T 领先型-别克君越新款 紫檀色,15.8,,2017年,2.5万公里,1.5升,自动,低配_会员1年_可分期付
156,兰博基尼,Aventador 2011款 6.5 序列变速-兰博基尼大牛LP7004,369.0,,2012年,2.5万公里,6.5升,自动,高配_会员1年_可分期付
157,林肯,"领航员 2005款 5.4L-支持分期,诚信经营",12.88,,2007年,13万公里,5.4升,自动,高配_会员3年_可分期付
158,奔驰,S级 2010款 S 400 L HYBRID,29.8,,2010年,12万公里,3.5升,自动,会员2年
159,奥迪,Q7 2010款 3.6 FSI quattro 豪华型,25.8,,2010年,6万公里,3.6升,自动,会员5年
160,玛莎拉蒂,总裁 2013款 3.0T 标准型-精品车况 有意者微聊 车商勿扰,67.8,,2014年,5.4万公里,3.0升,自动,低配_会员1年_可分期付
161,奔驰,AMG车系 2017款 AMG GLA 45 4MATIC 暗夜雷霆限量版,43.8,,2018年,1.8万公里,2.0升,自动,会员5年
162,捷豹,FType 2015款 3.0T 自动 V6,48.8,,2016年,1.4万公里,3.0升,自动,低配_会员5年
163,大众,"朗逸 2011款 1.6L 自动品雅版-月度特惠车,1成首付低利息",5.5,,2012年,4万公里,1.6升,自动,会员1年_可分期付
164,大众,新宝来 2013款 1.6L 自动豪华型-注:车商请勿来电 买车请用微聊,6.98,,2013年,8万公里,1.6升,自动,会员1年_可分期付
165,本田,雅阁 2010款 2.0L EX Navi-注:车商请勿来电 买车请用微聊,7.98,,2010年,9万公里,2.0升,自动,会员1年_可分期付
166,丰田,"皇冠 2007款 2.5L Royal 特别版-车况精品,支持随时检测",9.78,,2008年,18万公里,2.5升,自动,会员1年_可分期付
167,奥迪,Q5 2010款 2.0TFSI 进取型,13.8,,2010年,9万公里,2.0升,自动,低配_会员1年_可分期付
168,福特,蒙迪欧致胜 2010款 2.3L 豪华运动导航版-车况精品无事故,4.5,,2010年,6.6万公里,2.3升,自动,高配_会员1年
169,别克,君越 2009款 2.4L豪雅版-车况精品无事故,6.36,,2010年,5.5万公里,2.4升,自动,会员1年
170,别克,GL6 2018款 GL6 18T 6座尊贵型,12.08,急,2017年,0.4万公里,1.3升,自动,高配_会员4年
171,奔驰,C级 2016款 C 200 L 运动型-新车的品质二手车的价格,26.68,急,2016年,8万公里,2.0升,自动,会员3年
172,大众,"R36 2008款 R36 旅行版-支持分期,诚信经营",23.5,,2011年,8万公里,3.6升,自动,高配_会员3年_可分期付
173,斯巴鲁,"翼豹 2008款 2.0R 两厢运动版-支持分期,诚信经营",8.58,,2008年,10万公里,2.0升,自动,会员3年_可分期付
174,丰田,凯美瑞 2008款 200E 2.0 自动 精英版,3.18,,2008年,13万公里,2.0升,自动,低配_会员1年
175,丰田,凯美瑞 2008款 200E 2.0 自动 精英版,3.18,,2008年,13万公里,2.0升,自动,低配_会员1年
176,雷克萨斯,ES 2014款 250 2.5 自动 精英版-雷克萨斯ES 250 2.5L,24.0,,2015年,9.2万公里,2.5升,自动,低配_会员1年_可分期付
177,现代,瑞纳 2010款 三厢 1.4L 手动 标准型GL,1.38,,2010年,15万公里,1.4升,手动,低配_会员1年
178,大众,朗逸 2013款 1.6L 自动风尚版-精品一手车,3.75,,2012年,8.5万公里,1.6升,自动,会员1年
179,日产,GTR 2015款 3.8T 特别版,118.0,,2018年,0.8万公里,3.8升,自动,会员6年_可分期付
180,路虎,卫士 2016款 2.2T 手动 柴油版,122.8,,2018年,0.01万公里,2.2升,手动,高配_会员4年
181,大众,"CC 2015款 2.0TSI 豪华型-精品车况,有意者微聊车商勿扰。",15.98,,2015年,9万公里,2.0升,自动,会员1年_可分期付
182,大众,"CC 2013款 1.8TSI 豪华型-精品车况,有意者微聊车商勿扰。",14.38,,2013年,9.5万公里,1.8升,自动,会员1年_可分期付
183,奔驰,AMG车系 2014款 AMG A 45 4MATIC,32.8,,2015年,4.3万公里,2.0升,自动,低配_会员5年
184,大众,"朗逸 2011款 1.6L 手动品雅版-月度特惠车,1成首付低利息",4.8,,2011年,6万公里,1.6升,手动,会员1年_可分期付
185,MG,3 2013款 1.5 序列变速 豪华版-注:车商请勿来电 买车请用微聊,3.38,,2013年,7万公里,1.5升,自动,高配_会员1年_可分期付
186,沃尔沃,S60 2011款 2.0T 舒适版-注:车商请勿来电 买车请用微聊,7.68,,2011年,12万公里,2.0升,自动,会员1年_可分期付
187,三菱,"翼神 2011款 致尚版 1.8L 手动豪华型-车况精品,支持随时检测",4.95,,2012年,9万公里,1.8升,手动,会员1年_可分期付
188,雪佛兰,科鲁兹 2011款 1.6L SL天地版 AT,2.5,,2010年,9万公里,1.6升,自动,会员1年_可分期付
189,别克,GL8 2014款 2.4L CT豪华商务舒适版-常年大量批发商务 欢迎点击店铺,16.3,,2015年,5万公里,2.4升,自动,会员1年_可分期付
190,别克,英朗XT 2012款 XT 1.6L 自动时尚版-车况精品无事故,4.8,,2012年,7.1万公里,1.6升,自动,会员1年
191,福特,蒙迪欧致胜 2010款 2.3L 豪华运动导航版-车况精品无事故,4.1,,2010年,7.16万公里,2.3升,自动,高配_会员1年
192,福特,"蒙迪欧 2013款 2.0L GTDi240旗舰型-批发 批发,旗舰版车况精品",14.58,急,2015年,5.3万公里,2.0升,自动,高配_会员6年_可分期付
